"Timestamp","학년","불안한 부분","앱 알게된 방법","대부분 과목의 목표 성과","앱 효과","디자인 평가","레이아웃 평가","불편한 점"
"2023/11/21 10:27:40 AM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다","레이아웃 괜찮다","딱히없다. 좀 블링블링 샤방샤방하게 앱이 예뻤음좋겠다"
"2023/11/21 11:52:16 AM GMT+9","중2","기말고사가 불안하다","친구","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","없음"
"2023/11/21 1:33:23 PM GMT+9","중3","기말고사가 불안하다","검색","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없어요 너무 잘 쓰고 있어요!!"
"2023/11/21 1:55:51 PM GMT+9","중3","기말고사가 불안하다","SNS","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","아직 잘 모름"
"2023/11/21 2:10:35 PM GMT+9","중3","기말고사가 불안하다","SNS","A","계산력 저하","버튼, 박스 등이 마음에 들지 않는다;","레이아웃 괜찮다",""
"2023/11/21 6:35:09 PM GMT+9","중3","수행평가 점수가 낮다","검색","B","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/21 7:52:39 PM GMT+9","중3","중간고사 점수가 낮다;기말고사가 불안하다","검색","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/21 10:10:18 PM GMT+9","중1","기말고사가 불안하다","검색","A","별로 효과 없다","색깔이 마음에 들지 않는다","레이아웃이 못생겼다",""
"2023/11/21 10:48:14 PM GMT+9","중3","수행평가 점수가 낮다","혼자서","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","그런거 없고요 이런거 만들어 주셔서 감사합니다"
"2023/11/21 11:22:14 PM GMT+9","중3","기말고사가 불안하다","검색","A;B","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/22 11:58:04 AM GMT+9","학부모","기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","없음"
"2023/11/22 3:34:52 PM GMT+9","중3","중간고사 점수가 낮다;기말고사가 불안하다","검색","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/22 3:49:57 PM GMT+9","중2","수행평가 점수가 낮다","검색","A","기말고사가 덜 불안하다","버튼, 박스 등이 마음에 들지 않는다","그냥 그렇다","딱히 없음"
"2023/11/22 9:37:13 PM GMT+9","학부모","기말고사가 불안하다","아들","A;B;C;D","계산력 저하","앱 로고가 마음에 들지 않는다","레이아웃이 복잡하다","ㅇㅇ"
"2023/11/22 11:16:15 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","ㄴ"
"2023/11/23 8:17:01 AM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/23 8:41:42 AM GMT+9","중2","기말고사가 불안하다","친구","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/23 1:57:02 PM GMT+9","중3","기말고사가 불안하다","친구","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/23 2:23:00 PM GMT+9","학생","기말고사가 불안하다","검색","C","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","모름"
"2023/11/23 6:40:09 PM GMT+9","중2","중간고사 점수가 낮다","검색","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
